sku,group_skus.0,pricing_item.price.amount,pricing_item.price.currency,pricing_item.msrp.amount,pricing_item.msrp.currency,group,fields.return_policy,fields.carbon_and_emission_claims,fields.pfas_restriction,fields.net_contents_unit_of_measure,fields.carbon_and_emission_qualifiers,fields.carbon_and_emission_claims_url,fields.net_contents_quantity,upc,fields.brand,fields.description,fields.eligible_for_2_day_shipping,fields.import_description,fields.package_depth.value,fields.package_depth.unit,fields.package_height.value,fields.package_height.unit,fields.package_weight.value,fields.package_weight.unit,fields.package_width.value,fields.package_width.unit,name,fields.prop_65,fields.prop_65_warning,fields.shipping_exclusion,fields.tax,fields.bullet_feature_1,fields.bullet_feature_2,fields.bullet_feature_3,fields.bullet_feature_4,fields.bullet_feature_5,fields.bullet_feature_6,fields.bullet_feature_7,fields.bullet_feature_8,fields.bullet_feature_9,fields.color_specific_description,fields.arm_height,fields.arm_width,fields.assembly_details,fields.decor_style,fields.furniture_subtype,fields.includes,fields.license_personality,fields.license_property,fields.material_fill_1,fields.material_frame,fields.material_furniture_legs,fields.material_textile_1,fields.material_textile_percentage_1,fields.number_of_pieces,fields.pattern,fields.pattern_group,fields.piece_1_depth,fields.piece_1_height,fields.piece_1_type,fields.piece_1_weight,fields.piece_1_width,fields.piece_2_depth,fields.piece_2_height,fields.piece_2_type,fields.piece_2_weight,fields.piece_2_width,fields.color_family,fields.product_depth,fields.product_height,fields.product_width,fields.seat_depth,fields.upholstery,fields.warranty_description,fields.care_and_cleaning,fields.features_furniture,fields.manufacturer_suggested_age,fields.material_textile_percentage_2,fields.maximum_seating_capacity,fields.piece_3_depth,fields.piece_3_height,fields.piece_3_type,fields.piece_3_weight,fields.piece_3_width,fields.product_weight,fields.industry_or_government_certifications,fields.color,options.0
BF067-6S4SI2CS4SIBD,,,,,,product,AAA,,,,,,,,Belffin,"Belffin modular couch is a modern designed couch with tons of features like adjustable armrest/backrest, built in storage space underneath, customized configurations. You can easily add or move around the sections to fit your space. The velvet fabric is both comfortable and easy to take care of. Each box comes with a clear instruction manual, very easy to put together on your own.",No,imported,,in,,in,,lb,,in,Belffin Modular Velvet Tufted Pull-out Oversized U Shaped Sectional Sofa Couch with Storage Chaises,No,,Yes,General,adjustable armrest/backrest,Pet friendly,built in storage space underneath,washable covers,easy to assemble,spacious design for full-body relaxation,soft velvet material,very modern looking,countless configurations?,,,,"Adult Assembly Required, Tools Provided",,Chaise Sectional Sofas,1 Armless Sectional Piece,,,,Albasia Wood,,Velvet,100,6,Solid,Solid,30.7,23.2,Left Arm Sectional Pieces,22.04,6.3,30.7,23.2,Left Arm Sectional Pieces,22.04,6.3,,,,,20.9,Upholstered,,Spot or Wipe Clean,,,,6,,,,,,,,,color
BF067-6S4SI2CS4SIBD-Green,BF067-6S4SI2CS4SIBD,1699.99,USD,1879.98,USD,variant,AAA,,,,,,,634052705868,Belffin,"Belffin modular couch is a modern designed couch with tons of features like adjustable armrest/backrest, built in storage space underneath, customized configurations. You can easily add or move around the sections to fit your space. The velvet fabric is both comfortable and easy to take care of. Each box comes with a clear instruction manual, very easy to put together on your own.",No,imported,48,in,17.3,in,100,lb,31.4,in,"Belffin Modular Velvet Tufted Pull-out Oversized U Shaped Sectional Sofa Couch with Storage Chaises,Emerald Green",No,,Yes,General,adjustable armrest/backrest,Pet friendly,built in storage space underneath,washable covers,easy to assemble,spacious design for full-body relaxation,soft velvet material,very modern looking,countless configurations?,,,,"Adult Assembly Required, Tools Provided",,Chaise Sectional Sofas,1 Armless Sectional Piece,,,,Albasia Wood,,Velvet,100,6,Solid,Solid,30.7,23.2,Left Arm Sectional Pieces,22.04,6.3,30.7,23.2,Left Arm Sectional Pieces,22.04,6.3,Green,,,,20.9,Upholstered,1 Year Limited Warranty,Spot or Wipe Clean,,,,6,,,,,,,,Green,
BF067-6S4SI2CS4SIBD-Black,BF067-6S4SI2CS4SIBD,1699.99,USD,1879.98,USD,variant,AAA,,,,,,,634052705875,Belffin,"Belffin modular couch is a modern designed couch with tons of features like adjustable armrest/backrest, built in storage space underneath, customized configurations. You can easily add or move around the sections to fit your space. The velvet fabric is both comfortable and easy to take care of. Each box comes with a clear instruction manual, very easy to put together on your own.",No,imported,48,in,17.3,in,100,lb,31.4,in,"Belffin Modular Velvet Tufted Pull-out Oversized U Shaped Sectional Sofa Couch with Storage Chaises,Black",No,,Yes,General,adjustable armrest/backrest,Pet friendly,built in storage space underneath,washable covers,easy to assemble,spacious design for full-body relaxation,soft velvet material,very modern looking,countless configurations?,,,,"Adult Assembly Required, Tools Provided",,Chaise Sectional Sofas,1 Armless Sectional Piece,,,,Albasia Wood,,Velvet,100,6,Solid,Solid,30.7,23.2,Left Arm Sectional Pieces,22.04,6.3,30.7,23.2,Left Arm Sectional Pieces,22.04,6.3,Black,,,,20.9,Upholstered,1 Year Limited Warranty,Spot or Wipe Clean,,,,6,,,,,,,,Black,
BF067-6S4SI2CS4SIBD-Blue,BF067-6S4SI2CS4SIBD,1699.99,USD,1879.98,USD,variant,AAA,,,,,,,634052705882,Belffin,"Belffin modular couch is a modern designed couch with tons of features like adjustable armrest/backrest, built in storage space underneath, customized configurations. You can easily add or move around the sections to fit your space. The velvet fabric is both comfortable and easy to take care of. Each box comes with a clear instruction manual, very easy to put together on your own.",No,imported,48,in,17.3,in,100,lb,31.4,in,"Belffin Modular Velvet Tufted Pull-out Oversized U Shaped Sectional Sofa Couch with Storage Chaises,Navy Blue",No,,Yes,General,adjustable armrest/backrest,Pet friendly,built in storage space underneath,washable covers,easy to assemble,spacious design for full-body relaxation,soft velvet material,very modern looking,countless configurations?,,,,"Adult Assembly Required, Tools Provided",,Chaise Sectional Sofas,1 Armless Sectional Piece,,,,Albasia Wood,,Velvet,100,6,Solid,Solid,30.7,23.2,Left Arm Sectional Pieces,22.04,6.3,30.7,23.2,Left Arm Sectional Pieces,22.04,6.3,Blue,,,,20.9,Upholstered,1 Year Limited Warranty,Spot or Wipe Clean,,,,6,,,,,,,,Blue,
BF067-6S4SI2CS4SIBD-Gray,BF067-6S4SI2CS4SIBD,1699.99,USD,1879.98,USD,variant,AAA,,,,,,,634052705899,Belffin,"Belffin modular couch is a modern designed couch with tons of features like adjustable armrest/backrest, built in storage space underneath, customized configurations. You can easily add or move around the sections to fit your space. The velvet fabric is both comfortable and easy to take care of. Each box comes with a clear instruction manual, very easy to put together on your own.",No,imported,48,in,17.3,in,100,lb,31.4,in,"Belffin Modular Velvet Tufted Pull-out Oversized U Shaped Sectional Sofa Couch with Storage Chaises,Gray",No,,Yes,General,adjustable armrest/backrest,Pet friendly,built in storage space underneath,washable covers,easy to assemble,spacious design for full-body relaxation,soft velvet material,very modern looking,countless configurations?,,,,"Adult Assembly Required, Tools Provided",,Chaise Sectional Sofas,1 Armless Sectional Piece,,,,Albasia Wood,,Velvet,100,6,Solid,Solid,30.7,23.2,Left Arm Sectional Pieces,22.04,6.3,30.7,23.2,Left Arm Sectional Pieces,22.04,6.3,Gray,,,,20.9,Upholstered,1 Year Limited Warranty,Spot or Wipe Clean,,,,6,,,,,,,,Gray,
BF067-6S4SI2CS4SIBD-Beige,BF067-6S4SI2CS4SIBD,1699.99,USD,1879.98,USD,variant,AAA,,,,,,,634052705905,Belffin,"Belffin modular couch is a modern designed couch with tons of features like adjustable armrest/backrest, built in storage space underneath, customized configurations. You can easily add or move around the sections to fit your space. The velvet fabric is both comfortable and easy to take care of. Each box comes with a clear instruction manual, very easy to put together on your own.",No,imported,48,in,17.3,in,100,lb,31.4,in,"Belffin Modular Velvet Tufted Pull-out Oversized U Shaped Sectional Sofa Couch with Storage Chaises,Beige",No,,Yes,General,adjustable armrest/backrest,Pet friendly,built in storage space underneath,washable covers,easy to assemble,spacious design for full-body relaxation,soft velvet material,very modern looking,countless configurations?,,,,"Adult Assembly Required, Tools Provided",,Chaise Sectional Sofas,1 Armless Sectional Piece,,,,Albasia Wood,,Velvet,100,6,Solid,Solid,30.7,23.2,Left Arm Sectional Pieces,22.04,6.3,30.7,23.2,Left Arm Sectional Pieces,22.04,6.3,Beige,,,,20.9,Upholstered,1 Year Limited Warranty,Spot or Wipe Clean,,,,6,,,,,,,,Beige,
