sku,group_skus.0,pricing_item.price.amount,pricing_item.price.currency,pricing_item.msrp.amount,pricing_item.msrp.currency,group,fields.return_policy,upc,fields.brand,fields.description,fields.eligible_for_2_day_shipping,fields.import_description,fields.only_eligible_as_add_on_item,fields.package_depth.value,fields.package_depth.unit,fields.package_height.value,fields.package_height.unit,fields.package_weight.value,fields.package_weight.unit,fields.package_width.value,fields.package_width.unit,name,fields.prop_65,fields.shipping_exclusion,fields.tax,fields.bullet_feature_1,fields.bullet_feature_2,fields.bullet_feature_3,fields.bullet_feature_4,fields.bullet_feature_5,fields.bullet_feature_6,fields.bullet_feature_7,fields.bullet_feature_8,fields.bullet_feature_9,fields.assembly_details,fields.furniture_subtype,fields.manufacturer_suggested_age,fields.material_frame,fields.material_textile_1,fields.material_textile_percentage_1,fields.maximum_seating_capacity,fields.number_of_pieces,fields.pattern,fields.pattern_group,fields.color_family,fields.product_depth,fields.product_height,fields.product_weight,fields.product_width,fields.seat_back_height,fields.seat_back_width,fields.seat_cushion_thickness,fields.seat_depth,fields.seat_height_floor_to_seat_top,fields.seat_width,fields.upholstery,fields.warranty_description,fields.care_and_cleaning,fields.includes,options.0
BF067-4S6SI,,,,,,product,AAA,,Belffin,"Belffin modular couch is very flexible, you can easily add or move around the sections to fit your space.",No,imported,No,48,in,12.6,in,66.1,lb,26.8,in,Belffin Modular Velvet Tufted Sofa Couch with Reversible Chaises 4-Seater,No,Yes,General,adjustable armrest/backrest,Pet friendly,built in storage space underneath,washable covers,easy to assemble,spacious design for full-body relaxation,soft velvet material,very modern looking,countless configurations?,"Adult Assembly Required, Tools Provided",Sectional Armrests,Adult (18 Years and Up),Albasia Wood,Velvet,100,4,3,Solid,Solid,,30.7,35.8,50,30.7,18.9,23.6,,0,18.5,20.4,Upholstered,1 Year Limited Warranty,Spot or Wipe Clean,1 Armless Sectional Piece,color
BF067-4S6SI-Green,BF067-4S6SI,699.99,USD,879.98,USD,variant,AAA,6.34053E+11,Belffin,"Belffin modular couch is very flexible, you can easily add or move around the sections to fit your space.",No,imported,No,48,in,12.6,in,66.1,lb,26.8,in,"Belffin Modular Velvet Tufted Sofa Couch with Reversible Chaises 4-Seater,Emerald Green",No,Yes,General,adjustable armrest/backrest,Pet friendly,built in storage space underneath,washable covers,easy to assemble,spacious design for full-body relaxation,soft velvet material,very modern looking,countless configurations?,"Adult Assembly Required, Tools Provided",Sectional Armrests,Adult (18 Years and Up),Albasia Wood,Velvet,100,4,3,Solid,Solid,Green,30.7,35.8,50,30.7,18.9,23.6,,0,18.5,20.4,Upholstered,1 Year Limited Warranty,Spot or Wipe Clean,1 Armless Sectional Piece,
BF067-4S6SI-Black,BF067-4S6SI,699.99,USD,879.98,USD,variant,AAA,6.34053E+11,Belffin,"Belffin modular couch is very flexible, you can easily add or move around the sections to fit your space.",No,imported,No,48,in,12.6,in,66.1,lb,26.8,in,"Belffin Modular Velvet Tufted Sofa Couch with Reversible Chaises 4-Seater,Navy Blue",No,Yes,General,adjustable armrest/backrest,Pet friendly,built in storage space underneath,washable covers,easy to assemble,spacious design for full-body relaxation,soft velvet material,very modern looking,countless configurations?,"Adult Assembly Required, Tools Provided",Sectional Armrests,Adult (18 Years and Up),Albasia Wood,Velvet,100,4,3,Solid,Solid,Blue,30.7,35.8,50,30.7,18.9,23.6,,0,18.5,20.4,Upholstered,1 Year Limited Warranty,Spot or Wipe Clean,1 Armless Sectional Piece,
BF067-4S6SI-Blue,BF067-4S6SI,699.99,USD,879.98,USD,variant,AAA,6.34053E+11,Belffin,"Belffin modular couch is very flexible, you can easily add or move around the sections to fit your space.",No,imported,No,48,in,12.6,in,66.1,lb,26.8,in,"Belffin Modular Velvet Tufted Sofa Couch with Reversible Chaises 4-Seater,Gray",No,Yes,General,adjustable armrest/backrest,Pet friendly,built in storage space underneath,washable covers,easy to assemble,spacious design for full-body relaxation,soft velvet material,very modern looking,countless configurations?,"Adult Assembly Required, Tools Provided",Sectional Armrests,Adult (18 Years and Up),Albasia Wood,Velvet,100,4,3,Solid,Solid,Gray,30.7,35.8,50,30.7,18.9,23.6,,0,18.5,20.4,Upholstered,1 Year Limited Warranty,Spot or Wipe Clean,1 Armless Sectional Piece,
BF067-4S6SI-Gray,BF067-4S6SI,699.99,USD,879.98,USD,variant,AAA,6.34053E+11,Belffin,"Belffin modular couch is very flexible, you can easily add or move around the sections to fit your space.",No,imported,No,48,in,12.6,in,66.1,lb,26.8,in,"Belffin Modular Velvet Tufted Sofa Couch with Reversible Chaises 4-Seater,Black",No,Yes,General,adjustable armrest/backrest,Pet friendly,built in storage space underneath,washable covers,easy to assemble,spacious design for full-body relaxation,soft velvet material,very modern looking,countless configurations?,"Adult Assembly Required, Tools Provided",Sectional Armrests,Adult (18 Years and Up),Albasia Wood,Velvet,100,4,3,Solid,Solid,Black,30.7,35.8,50,30.7,18.9,23.6,,0,18.5,20.4,Upholstered,1 Year Limited Warranty,Spot or Wipe Clean,1 Armless Sectional Piece,
